symbol,name,last_sale,market_cap,ipo_year,sector,industry,summary_quote,exchange
PIH,"1347 Property Insurance Holdings, Inc.",7.02,4201e4,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih,NASDAQ
TURN,180 Degree Capital Corp.,2.035,6333e4,NA,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/turn,NASDAQ
FLWS,"1-800 FLOWERS.COM, Inc.",11.65,75287e4,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws,NASDAQ
FCCY,1st Constitution Bancorp (NJ),19.45,15702e4,NA,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy,NASDAQ
SRCE,1st Source Corporation,52.52,136e7,NA,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,NASDAQ
VNET,"21Vianet Group, Inc.",8.79,9814e5,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet,NASDAQ
TWOU,"2U, Inc.",73.54,384e7,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou,NASDAQ
JOBS,"51job, Inc.",68.21,421e7,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs,NASDAQ
CAFD,8point3 Energy Partners LP,14.87,118e7,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd,NASDAQ
EGHT,8x8 Inc,16.1,148e7,NA,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,NASDAQ
AVHI,"A V Homes, Inc.",18.15,40757e4,NA,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi,NASDAQ
SHLM,"A. Schulman, Inc.",39.35,116e7,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm,NASDAQ
AAON,"AAON, Inc.",36.05,189e7,NA,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,NASDAQ
ABAX,"ABAXIS, Inc.",64.44,146e7,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax,NASDAQ
ABEO,Abeona Therapeutics Inc.,17,79518e4,NA,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo,NASDAQ
ABEOW,Abeona Therapeutics Inc.,11.95,NA,NA,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow,NASDAQ
ABIL,Ability Inc.,0.45,1159e4,2014,Finance,Business Services,http://www.nasdaq.com/symbol/abil,NASDAQ
ABMD,"ABIOMED, Inc.",236.32,1045e7,NA,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd,NASDAQ
ABLX,Ablynx NV,44.74,336e7,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ablx,NASDAQ
AXAS,Abraxas Petroleum Corporation,2.55,42302e4,NA,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas,NASDAQ
ACIU,AC Immune SA,13.43,76447e4,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu,NASDAQ
ACIA,"Acacia Communications, Inc.",35.85,141e7,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia,NASDAQ
ACTG,Acacia Research Corporation,3.95,19989e4,NA,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg,NASDAQ
ACHC,"Acadia Healthcare Company, Inc.",33.95,298e7,NA,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc,NASDAQ
ACAD,ACADIA Pharmaceuticals Inc.,30.68,381e7,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad,NASDAQ
ACST,"Acasti Pharma, Inc.",1.14,2832e4,NA,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst,NASDAQ
AXDX,"Accelerate Diagnostics, Inc.",29.7,165e7,NA,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx,NASDAQ
XLRN,Acceleron Pharma Inc.,43.82,198e7,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn,NASDAQ
ANCX,Access National Corporation,28.82,58945e4,NA,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx,NASDAQ
ARAY,Accuray Incorporated,5.7,47834e4,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray,NASDAQ
ACRX,"AcelRx Pharmaceuticals, Inc.",2.05,10319e4,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx,NASDAQ
ACER,Acer Therapeutics Inc.,19.09,14313e4,NA,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acer,NASDAQ
ACERW,Acer Therapeutics Inc.,0.014,NA,NA,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acerw,NASDAQ
ACET,Aceto Corporation,11.36,34808e4,NA,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet,NASDAQ
AKAO,"Achaogen, Inc.",11.05,46845e4,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao,NASDAQ
ACHV,"Achieve Life Sciences, Inc.",1.89,2258e4,NA,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/achv,NASDAQ
ACHN,"Achillion Pharmaceuticals, Inc.",2.87,39565e4,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn,NASDAQ
ACIW,"ACI Worldwide, Inc.",22.96,272e7,NA,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw,NASDAQ
ACRS,"Aclaris Therapeutics, Inc.",24.61,75884e4,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs,NASDAQ
ACMR,"ACM Research, Inc.",5.31,8148e4,2017,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acmr,NASDAQ
ACNB,ACNB Corporation,30.35,21305e4,NA,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb,NASDAQ
ACOR,"Acorda Therapeutics, Inc.",26.65,125e7,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor,NASDAQ
SQZZ,Active Alts Contrarian ETF,26.475,NA,NA,NA,NA,http://www.nasdaq.com/symbol/sqzz,NASDAQ
ATVI,"Activision Blizzard, Inc",70.82,5355e7,NA,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi,NASDAQ
ACTA,Actua Corporation,15.6,51047e4,NA,Technology,EDP Services,http://www.nasdaq.com/symbol/acta,NASDAQ
ACXM,Acxiom Corporation,27.25,215e7,NA,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm,NASDAQ
ADMS,"Adamas Pharmaceuticals, Inc.",40.97,93325e4,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms,NASDAQ
ADMP,Adamis Pharmaceuticals Corporation,4.05,13522e4,NA,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp,NASDAQ
ADAP,Adaptimmune Therapeutics plc,9.13,85536e4,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap,NASDAQ
ADUS,Addus HomeCare Corporation,37.15,43212e4,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus,NASDAQ
AEY,"ADDvantage Technologies Group, Inc.",1.46,1493e4,NA,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey,NASDAQ
IOTS,Adesto Technologies Corporation,7.1,15009e4,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/iots,NASDAQ
ADMA,ADMA Biologics Inc,3.8,1722e5,NA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma,NASDAQ
ADBE,Adobe Systems Incorporated,197.51,9709e7,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe,NASDAQ
ADOM,"ADOMANI, Inc.",1.84,132e6,2017,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/adom,NASDAQ
ADTN,"ADTRAN, Inc.",16,77039e4,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn,NASDAQ
ADRO,"Aduro Biotech, Inc.",6.75,521799999.99999994,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro,NASDAQ
AAAP,Advanced Accelerator Applications S.A.,81.95,362e7,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap,NASDAQ
ADES,"Advanced Emissions Solutions, Inc.",8.52,17968e4,NA,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades,NASDAQ
AEIS,"Advanced Energy Industries, Inc.",72.09,286e7,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis,NASDAQ
AMD,"Advanced Micro Devices, Inc.",12.41,1197e7,NA,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd,NASDAQ
ADXS,"Advaxis, Inc.",3.18,13135e4,NA,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs,NASDAQ
